X,Y,OBJECTID,ADDRESS_ID,STATUS,FULLADDRESS,XCOORD,YCOORD,WARD_2012,WARD_2022,WARD_CHANGE
-77.01873295,38.908343594,4446,297775,ACTIVE,1337 5TH STREET NW,398375.42,137830.81,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.021639442,38.9053319610001,4447,278862,ACTIVE,1116 MCCOLLOUGH COURT NW,398123.25,137496.55,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.019527807,38.915117917,4448,279819,ACTIVE,514 FLORIDA AVENUE NW,398306.64,138582.83,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.016462695,38.9054663090001,4449,279736,ACTIVE,402 M STREET NW,398572.27,137511.37,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.015890188,38.9071365360001,4450,304089,RETIRE,302 N STREET NW,398621.96,137696.77,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.019654184,38.9075922370001,4451,279034,ACTIVE,1309 6TH STREET NW,398295.5,137747.42,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0196455669999,38.9076989870001,4452,279042,ACTIVE,1313 6TH STREET NW,398296.25,137759.27,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.019666038,38.9079302280001,4453,279065,ACTIVE,1325 6TH STREET NW,398294.48,137784.94,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.017259859,38.9065962010001,4454,279773,ACTIVE,429 RIDGE STREET NW,398503.15,137636.81,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.018393105,38.9062846100001,4455,279797,ACTIVE,470 RIDGE STREET NW,398404.85,137602.24,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.018380155,38.9065863010001,4456,279799,ACTIVE,477 RIDGE STREET NW,398405.98,137635.73,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0163463499999,38.905391916,4457,305898,ACTIVE,1140 4TH STREET NW,398582.36,137503.11,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0207620909999,38.9081416440001,4458,296078,ACTIVE,1310 6TH STREET NW,398199.42,137808.43,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
